,MediaId,FileName,ClassId,Date,Time,Locality,Latitude,Longitude,Elevation,Author,AuthorID,Content,Comments,Quality,Year,BackgroundSpecies,Order,Family,Genus,Species,Sub-species,VernacularNames
0,1287,蘭嶼角鴞_ML42142 蘭嶼角鴞.wav,b00054,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,蘭嶼角鴞,,XXXXX
1,899,白耳畫眉_ML14163 白耳畫眉.wav,b00038,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,白耳畫眉,,XXXXX
2,791,深山鶯_XC176813 - 深山鶯〔黃腹樹鶯〕 - Horornis acanthizoides.wav,b00033,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,深山鶯,,XXXXX
3,1322,蘭嶼角鴞_ML42188 蘭嶼角鴞.wav,b00054,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,蘭嶼角鴞,,XXXXX
4,176,諸羅樹蛙_13497514601bcg-l.wav,f00029,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,Rhacophorus arvalis,,XXXXX
5,1277,蘭嶼角鴞_ML42116 蘭嶼角鴞.wav,b00054,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,蘭嶼角鴞,,XXXXX
6,174,諸羅樹蛙_13497512751t7b-l.wav,f00029,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,Rhacophorus arvalis,,XXXXX
7,1802,黑臉鵐_ML77298151 黑臉鵐.wav,b00073,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,黑臉鵐,,XXXXX
8,628,朱鸝_XC112363 - 朱鸝 - Oriolus traillii ardens.wav,b00028,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,朱鸝,,XXXXX
9,1081,紅尾伯勞_ML89553891 紅尾伯勞(灰頭).wav,b00044,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,紅尾伯勞,,XXXXX
10,81,日本樹蛙_13417346121m2z-l.wav,f00013,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,Buergeria japonica,,XXXXX
11,1472,野鴝_ML45017221 野鴝.wav,b00060,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,野鴝,,XXXXX
12,339,大彎嘴_13402442091x5p-l 大彎嘴 Pomatorhinus erythrocnemis.wav,b00017,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,大彎嘴,,XXXXX
13,1032,粉紅鸚嘴_ML14231 粉紅鸚嘴.wav,b00042,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,粉紅鸚嘴,,XXXXX
14,721,極北柳鶯_XC403580 - 極北柳鶯 - Phylloscopus borealis borealis.wav,b00030,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,極北柳鶯,,XXXXX
15,179,諸羅樹蛙_13497518051uoj-l.wav,f00029,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,Rhacophorus arvalis,,XXXXX
16,26,史丹吉氏小雨蛙_134967581911rr-l.wav,f00006,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,Micryletta steinegeri,,XXXXX
17,1195,繡眼畫眉_ML28856611 繡眼畫眉.wav,b00051,2018-04-12,15:00,Taiwan,0,0,0,AIA2018,AIA2018,song,,2,AIA2018,XXXXX,XXXXX,XXXXX,Rana,繡眼畫眉,,XXXXX
