category,classId,chineseName,scientificName,chineseCommonName
frog,f00001,中國樹蟾,Hyla chinensis,
frog,f00002,亞洲錦蛙,Kaloula pulchra,
frog,f00003,台北樹蛙,Rhacophorus taipeianus,
frog,f00004,台北赤蛙,Hylarana taipehensis,
frog,f00005,史丹吉氏小雨蛙,Micryletta steinegeri,
frog,f00006,太田樹蛙,Buergeria otai,
frog,f00007,小雨蛙,Microhyla ornata,
frog,f00008,巴氏小雨蛙,Microhyla butleri,
frog,f00009,拉都希氏赤蛙,Hylarana latouchii,
frog,f00010,斑腿樹蛙,Polypedates megacephalus,
frog,f00011,斯文豪氏赤蛙,Odorrana swinhoana,
frog,f00012,日本樹蛙,Buergeria japonica,
frog,f00013,梭德氏赤蛙,Rana sauteri,
frog,f00014,橙腹樹蛙,Rhacophorus aurantiventris,
frog,f00015,海蛙,Fejervarya cancrivora,
frog,f00016,澤蛙,Fejervarya kawamurai (Rana limnocharis),
frog,f00017,白頷樹蛙,Polypedates braueri,
frog,f00018,盤古蟾蜍,Bufo bankorensis,
frog,f00019,福建大頭蛙,Limnonectes fujianensis,
frog,f00020,美洲牛蛙,Lithobates catesbeianus,
frog,f00021,翡翠樹蛙,Rhacophorus prasinatus,
frog,f00022,腹斑蛙,Babina adenopleura,
frog,f00023,艾氏樹蛙,Kurixalus eiffingeri,
frog,f00024,花狹口蛙,Kaloula pulchra,
frog,f00025,莫氏樹蛙,Rhacophorus moltrechti,
frog,f00026,虎皮蛙,Hoplobatrachus rugulosus,
frog,f00027,褐樹蛙,Buergeria robusta,
frog,f00028,諸羅樹蛙,Rhacophorus arvalis,
frog,f00029,豎琴蛙,Babina okinavana (Rana psaltes),
frog,f00030,貢德氏赤蛙,Hylarana guentheri,
frog,f00031,金線蛙,Pelophylax fukienensis,
frog,f00032,長腳赤蛙,Rana longicrus,
frog,f00033,面天樹蛙,Kurixalus idiootocus,
frog,f00034,黑眶蟾蜍,Duttaphrynus melanosticus,
frog,f00035,黑蒙西氏小雨蛙,Microhyla heymonsi,
dog,d00001,博美犬,博美犬,
dog,d00002,台灣土狗,台灣土狗,
dog,d00003,哈士奇,哈士奇,
dog,d00004,幼犬,幼犬,
dog,d00005,德國短毛獵犬,德國短毛獵犬,
dog,d00006,柴犬,柴犬,
dog,d00007,格力犬,格力犬,
dog,d00008,格雷伊獵犬,格雷伊獵犬,
dog,d00009,海南藏獒,海南藏獒,
dog,d00010,獵犬,獵犬,
dog,d00011,薩摩耶犬,薩摩耶犬,
dog,d00012,金毛獵犬,金毛獵犬,
dog,d00013,靈緹狗,靈緹狗,
dog,d00014,鬣狗,鬣狗,
dog,d00015,狼犬,狼犬,
cat,c00001,Baby Kitten Cat,Baby Kitten Cat,
cat,c00002,Burble_黑貓,Burble_黑貓,
cat,c00003,Gamer_cat,Gamer_cat,
cat,c00004,Kitten Cat,Kitten Cat,
cat,c00005,Kitty Cat,Kitty Cat,
cat,c00006,Maine Coons Cat,Maine Coons Cat,
cat,c00007,persian cat,persian cat,
cat,c00008,Purr Cat,Purr Cat,
cat,c00009,Terrific cat,Terrific cat,
cat,c00010,小伊貓,小伊貓,
cat,c00011,布偶貓,布偶貓,
cat,c00012,母貓,母貓,
cat,c00013,安哥拉貓,安哥拉貓,
cat,c00014,波斯貓,波斯貓,
cat,c00015,俄羅斯藍貓,俄羅斯藍貓,
bird,b00001,低地繡眼,Zosterops meyeni,
bird,b00002,暗綠繡眼,Zosterops japonicus,綠繡眼，暗綠繡眼鳥
bird,b00003,虎鶇,Zoothera dauma,虎斑地鶇
bird,b00004,冠羽畫眉,Yuhina brunneiceps,臺灣鳳鶥
bird,b00005,反嘴鷸,Xenus cinereus,翹嘴鷸
bird,b00006,小辮鴴,Vanellus vanellus,鳳頭麥雞
bird,b00007,短尾鶯,Urosphena squameiceps,鱗頭樹鶯
bird,b00008,臺灣藍鵲,Urocissa caerulea,
bird,b00009,白頭鶇,Turdus poliocephalus,島鶇
bird,b00010,白腹鶇,Turdus pallidus,
bird,b00011,黑鶇,Turdus merula,烏鶇
bird,b00012,赤腹鶇,Turdus chrysolaus,赤胸鶇
bird,b00013,烏灰鶇,Turdus cardis,
bird,b00014,鷦鷯,Troglodytes troglodytes,
bird,b00015,臺灣噪眉,Trochalopteron morrisonianum,金翼白眉
bird,b00016,赤足鷸,Tringa totanus,紅腳鷸
bird,b00017,小青足鷸,Tringa stagnatilis,澤鷸
bird,b00018,青足鷸,Tringa nebularia,
bird,b00019,鷹斑鷸,Tringa glareola,林鷸
bird,b00020,鶴鷸,Tringa erythropus,
bird,b00021,黃足鷸,Tringa brevipes,灰尾鷸
bird,b00022,綠鳩,Treron sieboldii,紅翅綠鳩
bird,b00023,紅頭綠鳩,Treron formosae,
bird,b00024,紫綬帶,Terpsiphone atrocaudata,
bird,b00025,栗背林鴝,Tarsiger johnstoniae,臺灣林鴝
bird,b00026,白眉林鴝,Tarsiger indicus,
bird,b00027,藍尾鴝,Tarsiger cyanurus,紅脇藍尾鴝，藍尾歌鴝
bird,b00028,黑長尾雉,Syrmaticus mikado,帝雉
bird,b00029,黃羽鸚嘴,Suthora verreauxi,金色鴉雀
bird,b00030,灰背椋鳥,Sturnia sinensis,噪林鳥
bird,b00031,灰頭椋鳥,Sturnia malabarica,
bird,b00032,紅鳩,Streptopelia tranquebarica,火斑鳩
bird,b00033,金背鳩,Streptopelia orientalis,山斑鳩
bird,b00034,小燕鷗,Sternula albifrons,
bird,b00035,白環鸚嘴鵯,Spizixos semitorques,領雀嘴鵯
bird,b00036,黃雀,Spinus spinus,
bird,b00037,大冠鷲,Spilornis cheela,蛇鵰
bird,b00038,珠頸斑鳩,Streptopelia chinensis,
bird,b00039,赤腹山雀,Sittiparus castaneoventris,臺灣山雀
bird,b00040,茶腹鳾,Sitta europaea,
bird,b00041,粉紅鸚嘴,Sinosuthora webbiana,棕頭鴉雀
bird,b00042,頭烏線,Schoeniparus brunnea,褐頂雀鶥
bird,b00043,彩鷸,Rostratula benghalensis,
bird,b00044,火冠戴菊,Regulus goodfellowi,臺灣戴菊
bird,b00045,灰腳秧雞,Rallina eurizonoides,白喉斑秧雞，灰腳斑秧雞
bird,b00046,褐鷽,Pyrrhula nipalensis,褐灰雀
bird,b00047,灰鷽,Pyrrhula erythaca,灰頭灰雀
bird,b00048,烏頭翁,Pycnonotus taivanus,臺灣鵯
bird,b00049,白頭翁,Pycnonotus sinensis,白頭鵯
bird,b00050,臺灣擬啄木,Psilopogon nuchalis,五色鳥
bird,b00051,岩鷚,Prunella collaris,領岩鷚
bird,b00052,褐頭鷦鶯,Prinia inornata,
bird,b00053,灰頭鷦鶯,Prinia flaviventris,
bird,b00054,斑紋鷦鶯,Prinia crinigera,山鷦鶯
bird,b00055,小彎嘴,Pomatorhinus musicus,臺灣棕頸鈎嘴鶥
bird,b00056,臺灣鷦眉,Pnoepyga formosana,鱗胸鷦鷯，小鱗胸鷦眉
bird,b00057,八色鳥,Pitta nympha,仙八色鶇
bird,b00058,綠啄木,Picus canus,灰頭綠啄木
bird,b00059,喜鵲,Pica pica,
bird,b00060,暗綠柳鶯,Phylloscopus trochiloides,
bird,b00061,淡腳柳鶯,Phylloscopus tenellipes,
bird,b00062,黃腰柳鶯,Phylloscopus proregulus,
bird,b00063,黃眉柳鶯,Phylloscopus inornatus,
bird,b00064,褐色柳鶯,Phylloscopus fuscatus,
bird,b00065,堪察加柳鶯,Phylloscopus examinandus,
bird,b00066,庫頁島柳鶯,Phylloscopus borealoides,
bird,b00067,極北柳鶯,Phylloscopus borealis,
bird,b00068,鉛色水鶇,Phoenicurus fuliginosus,
bird,b00069,黃尾鴝,Phoenicurus auroreus,北紅尾鴝
bird,b00070,環頸雉,Phasianus colchicus,
bird,b00071,煤山雀,Parus ater,
bird,b00072,赤紅山椒鳥,Pericrocotus flammeus,
bird,b00073,灰喉山椒鳥,Pericrocotus solaris,
bird,b00074,山麻雀,Passer rutilans,
bird,b00075,麻雀,Passer montanus,樹麻雀
bird,b00076,青背山雀,Parus monticolus,綠背山雀
