category	classId	chineseName	scientificName
frog	f00001	中國樹蟾	Hyla chinensis
frog	f00002	亞洲錦蛙	Kaloula pulchra
frog	f00003	台北樹蛙	Rhacophorus taipeianus
frog	f00004	台北赤蛙	Hylarana taipehensis
frog	f00005	史丹吉氏小雨蛙	Micryletta steinegeri
frog	f00006	太田樹蛙	Buergeria otai
frog	f00007	小雨蛙	Microhyla ornata
frog	f00008	巴氏小雨蛙	Microhyla butleri
frog	f00009	拉都希氏赤蛙	Hylarana latouchii
frog	f00010	斑腿樹蛙	Polypedates megacephalus
frog	f00011	斯文豪氏赤蛙	Odorrana swinhoana
frog	f00012	日本樹蛙	Buergeria japonica
frog	f00013	梭德氏赤蛙	Rana sauteri
frog	f00014	橙腹樹蛙	Rhacophorus aurantiventris
frog	f00015	海蛙	Fejervarya cancrivora
frog	f00016	澤蛙	Fejervarya kawamurai (Rana limnocharis)
frog	f00017	白頷樹蛙	Polypedates braueri
frog	f00018	盤古蟾蜍	Bufo bankorensis
frog	f00019	福建大頭蛙	Limnonectes fujianensis
frog	f00020	美洲牛蛙	Lithobates catesbeianus
frog	f00021	翡翠樹蛙	Rhacophorus prasinatus
frog	f00022	腹斑蛙	Babina adenopleura
frog	f00023	艾氏樹蛙	Kurixalus eiffingeri
frog	f00024	花狹口蛙	Kaloula pulchra
frog	f00025	莫氏樹蛙	Rhacophorus moltrechti
frog	f00026	虎皮蛙	Hoplobatrachus rugulosus
frog	f00027	褐樹蛙	Buergeria robusta
frog	f00028	諸羅樹蛙	Rhacophorus arvalis
frog	f00029	豎琴蛙	Babina okinavana (Rana psaltes)
frog	f00030	貢德氏赤蛙	Hylarana guentheri
frog	f00031	金線蛙	Pelophylax fukienensis
frog	f00032	長腳赤蛙	Rana longicrus
frog	f00033	面天樹蛙	Kurixalus idiootocus
frog	f00034	黑眶蟾蜍	Duttaphrynus melanosticus
frog	f00035	黑蒙西氏小雨蛙	Microhyla heymonsi
bird	b00001	中國畫眉	中國畫眉
bird	b00002	五色鳥	五色鳥
bird	b00003	八哥	八哥
bird	b00004	八色鳥	八色鳥
bird	b00005	冠羽畫眉	冠羽畫眉
bird	b00006	北方中杜鵑	北方中杜鵑
bird	b00007	南亞夜鷹	南亞夜鷹
bird	b00008	叉尾太陽鳥	叉尾太陽鳥
bird	b00009	台灣叢樹鶯	台灣叢樹鶯
bird	b00010	台灣山鷓鴣	台灣山鷓鴣
bird	b00011	台灣畫眉	台灣畫眉
bird	b00012	台灣藍鵲	台灣藍鵲
bird	b00013	台灣鷦眉	台灣鷦眉
bird	b00014	噪鵑	噪鵑
bird	b00015	大冠鷲	大冠鷲
bird	b00016	大卷尾	大卷尾
bird	b00017	大彎嘴	大彎嘴
bird	b00018	大赤啄木	大赤啄木
bird	b00019	小卷尾	小卷尾
bird	b00020	小啄木	小啄木
bird	b00021	小彎嘴	小彎嘴
bird	b00022	小桑鳲	小桑鳲
bird	b00023	小翼鶇	小翼鶇
bird	b00024	小雲雀	小雲雀
bird	b00025	小鶯	小鶯
bird	b00026	山紅頭	山紅頭
bird	b00027	斑紋鷦鶯	斑紋鷦鶯
bird	b00028	朱鸝	朱鸝
bird	b00029	栗背林鴝	栗背林鴝
bird	b00030	極北柳鶯	極北柳鶯
bird	b00031	樹鵲	樹鵲
bird	b00032	洋燕	洋燕
bird	b00033	深山鶯	深山鶯
bird	b00034	灰頭鷦鶯	灰頭鷦鶯
bird	b00035	灰鷽	灰鷽
bird	b00036	白尾鴝	白尾鴝
bird	b00037	白環鸚嘴鵯	白環鸚嘴鵯
bird	b00038	白耳畫眉	白耳畫眉
bird	b00039	白腹鶇	白腹鶇
bird	b00040	白頭翁	白頭翁
bird	b00041	短尾鶯	短尾鶯
bird	b00042	粉紅鸚嘴	粉紅鸚嘴
bird	b00043	紅嘴黑鵯	紅嘴黑鵯
bird	b00044	紅尾伯勞	紅尾伯勞
bird	b00045	紅胸啄花	紅胸啄花
bird	b00046	紅頭山雀	紅頭山雀
bird	b00047	紋翼畫眉	紋翼畫眉
bird	b00048	綠啄花	綠啄花
bird	b00049	綠繡眼	綠繡眼
bird	b00050	綠鳩	綠鳩
bird	b00051	繡眼畫眉	繡眼畫眉
bird	b00052	翠鳥	翠鳥
bird	b00053	茶腹鳾	茶腹鳾
bird	b00054	蘭嶼角鴞	蘭嶼角鴞
bird	b00055	褐頭花翼	褐頭花翼
bird	b00056	褐頭鷦鶯	褐頭鷦鶯
bird	b00057	褐鷽	褐鷽
bird	b00058	赤腹山雀	赤腹山雀
bird	b00059	遠東樹鶯	遠東樹鶯
bird	b00060	野鴝	野鴝
bird	b00061	青背山雀	青背山雀
bird	b00062	領角鴞	領角鴞
bird	b00063	頭烏線	頭烏線
bird	b00064	鳳頭蒼鷹	鳳頭蒼鷹
bird	b00065	麻雀	麻雀
bird	b00066	黃嘴角鴞	黃嘴角鴞
bird	b00067	黃尾鴝	黃尾鴝
bird	b00068	黃山雀	黃山雀
bird	b00069	黃眉柳鶯	黃眉柳鶯
bird	b00070	黃胸藪眉	黃胸藪眉
bird	b00071	黑冠麻鷺	黑冠麻鷺
bird	b00072	黑枕藍鶲	黑枕藍鶲
bird	b00073	黑臉鵐	黑臉鵐
dog	d00001	博美犬	博美犬
dog	d00002	台灣土狗	台灣土狗
dog	d00003	哈士奇	哈士奇
dog	d00004	幼犬	幼犬
dog	d00005	德國短毛獵犬	德國短毛獵犬
dog	d00006	柴犬	柴犬
dog	d00007	格力犬	格力犬
dog	d00008	格雷伊獵犬	格雷伊獵犬
dog	d00009	海南藏獒	海南藏獒
dog	d00010	獵犬	獵犬
dog	d00011	薩摩耶犬	薩摩耶犬
dog	d00012	金毛獵犬	金毛獵犬
dog	d00013	靈緹狗	靈緹狗
dog	d00014	鬣狗	鬣狗
dog	d00015	狼犬	狼犬
