category,classId,chineseName,scientificName,chineseCommonName
frog,HYLCHI,中國樹蟾,Hyla chinensis,
frog,KALPUL,亞洲錦蛙,Kaloula pulchra,
frog,RHATAI,臺北樹蛙,Rhacophorus taipeianus,
frog,HYLTAI,臺北赤蛙,Hylarana taipehensis,
frog,MICSTE,史丹吉氏小雨蛙,Micryletta steinegeri,
frog,BUEOTA,太田樹蛙,Buergeria otai,
frog,MICORN,小雨蛙,Microhyla ornata,
frog,MICBUT,巴氏小雨蛙,Microhyla butleri,
frog,HYLLAT,拉都希氏赤蛙,Hylarana latouchii,
frog,POLMEG,斑腿樹蛙,Polypedates megacephalus,
frog,ODOSWI,斯文豪氏赤蛙,Odorrana swinhoana,
frog,BUEJAP,日本樹蛙,Buergeria japonica,
frog,RANSAU,梭德氏赤蛙,Rana sauteri,
frog,RHAAUR,橙腹樹蛙,Rhacophorus aurantiventris,
frog,FEJCAN,海蛙,Fejervarya cancrivora,
frog,FEJKAW,澤蛙,Fejervarya kawamurai (Rana limnocharis),
frog,POLBRA,白頷樹蛙,Polypedates braueri,
frog,BUFBAN,盤古蟾蜍,Bufo bankorensis,
frog,LIMFUJ,福建大頭蛙,Limnonectes fujianensis,
frog,LITCAT,美洲牛蛙,Lithobates catesbeianus,
frog,RHAPRA,翡翠樹蛙,Rhacophorus prasinatus,
frog,BABADE,腹斑蛙,Babina adenopleura,
frog,KUREIF,艾氏樹蛙,Kurixalus eiffingeri,
frog,KALPUL,花狹口蛙,Kaloula pulchra,
frog,RHAMOL,莫氏樹蛙,Rhacophorus moltrechti,
frog,HOPRUG,虎皮蛙,Hoplobatrachus rugulosus,
frog,BUEROB,褐樹蛙,Buergeria robusta,
frog,RHAARV,諸羅樹蛙,Rhacophorus arvalis,
frog,BABOKI,豎琴蛙,Babina okinavana (Rana psaltes),
frog,HYLGUE,貢德氏赤蛙,Hylarana guentheri,
frog,PELFUK,金線蛙,Pelophylax fukienensis,
frog,RANLON,長腳赤蛙,Rana longicrus,
frog,KURIDI,面天樹蛙,Kurixalus idiootocus,
frog,DUTMEL,黑眶蟾蜍,Duttaphrynus melanosticus,
frog,MICHEY,黑蒙西氏小雨蛙,Microhyla heymonsi,
dog,d00001,博美犬,博美犬,
dog,d00002,台灣土狗,台灣土狗,
dog,d00003,哈士奇,哈士奇,
dog,d00004,幼犬,幼犬,
dog,d00005,德國短毛獵犬,德國短毛獵犬,
dog,d00006,柴犬,柴犬,
dog,d00007,格力犬,格力犬,
dog,d00008,格雷伊獵犬,格雷伊獵犬,
dog,d00009,海南藏獒,海南藏獒,
dog,d00010,獵犬,獵犬,
dog,d00011,薩摩耶犬,薩摩耶犬,
dog,d00012,金毛獵犬,金毛獵犬,
dog,d00013,靈緹狗,靈緹狗,
dog,d00014,鬣狗,鬣狗,
dog,d00015,狼犬,狼犬,
cat,c00001,Baby Kitten Cat,Baby Kitten Cat,
cat,c00002,Burble_黑貓,Burble_黑貓,
cat,c00003,Gamer_cat,Gamer_cat,
cat,c00004,Kitten Cat,Kitten Cat,
cat,c00005,Kitty Cat,Kitty Cat,
cat,c00006,Maine Coons Cat,Maine Coons Cat,
cat,c00007,persian cat,persian cat,
cat,c00008,Purr Cat,Purr Cat,
cat,c00009,Terrific cat,Terrific cat,
cat,c00010,小伊貓,小伊貓,
cat,c00011,布偶貓,布偶貓,
cat,c00012,母貓,母貓,
cat,c00013,安哥拉貓,安哥拉貓,
cat,c00014,波斯貓,波斯貓,
cat,c00015,俄羅斯藍貓,俄羅斯藍貓,
bird,ZOSMEY,低地繡眼,Zosterops meyeni,
bird,ZOSJAP,暗綠繡眼,Zosterops japonicus,綠繡眼，暗綠繡眼鳥
bird,ZOODAU,虎鶇,Zoothera dauma,虎斑地鶇
bird,YUHBRU,冠羽畫眉,Yuhina brunneiceps,臺灣鳳鶥
bird,XENCIN,反嘴鷸,Xenus cinereus,翹嘴鷸
bird,VANVAN,小辮鴴,Vanellus vanellus,鳳頭麥雞
bird,UROSQU,短尾鶯,Urosphena squameiceps,鱗頭樹鶯
bird,UROCAE,臺灣藍鵲,Urocissa caerulea,
bird,TURPOL,白頭鶇,Turdus poliocephalus,島鶇
bird,TURPAL,白腹鶇,Turdus pallidus,
bird,TURMER,黑鶇,Turdus merula,烏鶇
bird,TURCHR,赤腹鶇,Turdus chrysolaus,赤胸鶇
bird,TURCAR,烏灰鶇,Turdus cardis,
bird,TROTRO,鷦鷯,Troglodytes troglodytes,
bird,TROMOR,臺灣噪眉,Trochalopteron morrisonianum,金翼白眉
bird,TRITOT,赤足鷸,Tringa totanus,紅腳鷸
bird,TRISTA,小青足鷸,Tringa stagnatilis,澤鷸
bird,TRINEB,青足鷸,Tringa nebularia,
bird,TRIGLA,鷹斑鷸,Tringa glareola,林鷸
bird,TRIERY,鶴鷸,Tringa erythropus,
bird,TRIBRE,黃足鷸,Tringa brevipes,灰尾鷸
bird,TRESIE,綠鳩,Treron sieboldii,紅翅綠鳩
bird,TREFOR,紅頭綠鳩,Treron formosae,
bird,TERATR,紫綬帶,Terpsiphone atrocaudata,
bird,TARJOH,栗背林鴝,Tarsiger johnstoniae,臺灣林鴝
bird,TARIND,白眉林鴝,Tarsiger indicus,
bird,TARCYA,藍尾鴝,Tarsiger cyanurus,紅脇藍尾鴝，藍尾歌鴝
